expression,reading,meaning,tags,guid
励む,はげむ,"to be zealous, to make an effort",JLPT_1 JLPT,eRMmv1gB8h
剥げる,はげる,"to come off, to be worn off, to fade, to discolor",JLPT_1 JLPT,m#-VcH[ruD
化ける,ばける,"to disguise, to take the form of",JLPT_1 JLPT,"zsj~iuc<,S"
派遣,はけん,"dispatch, send",JLPT_1 JLPT,xZEi_Ueutn
恥,はじ,"shame, embarrassment",JLPT_1 JLPT,H_9U]_^tqP
弾く,はじく,"to play (piano, guitar)",JLPT_1 JLPT,p02dcV&o1#
パジャマ,パジャマ,pajamas,JLPT_1 JLPT,Ipo@;IW-Nr
恥じらう,はじらう,"to feel shy, to be bashful, to blush",JLPT_1 JLPT,"D}9,{%uTed"
恥じる,はじる,to feel ashamed,JLPT_1 JLPT,p`-?T7SXQx
橋渡し,はしわたし,"bridge building', mediation",JLPT_1 JLPT,l%|j(`9GzE
弾む,はずむ,"to bounce, to be encouraged, to splurge on",JLPT_1 JLPT,jr]t()sL{)
破損,はそん,damage,JLPT_1 JLPT,AcKSLKW:yW
叩く,はたく,"to strike, to clap, to dust, to beat",JLPT_1 JLPT,"dWYi~RDgh,"
裸足,はだし,barefoot,JLPT_1 JLPT,"po~Uf#TR,"
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve",JLPT_1 JLPT,"DK+O{$,$^%"
蜂蜜,はちみつ,honey,JLPT_1 JLPT,t2`Wi>Wvpr
パチンコ,パチンコ,pachinko (Japanese pinball),JLPT_1 JLPT,"N,S-[g<N~X"
罰,ばつ,"punishment, penalty",JLPT_1 JLPT,pak.tgGX7x
発育,はついく,"(physical) growth, development",JLPT_1 JLPT,r)!<G?/hIO
発芽,はつが,germination,JLPT_1 JLPT,odw.?IsV+e
発掘,はっくつ,"excavation, exhumation; discovery (e.g., new talent)",JLPT_1 JLPT,EM>uH;4cf/
発言,はつげん,"utterance, speech, proposal",JLPT_1 JLPT,LH_cLO;>A#
バッジ,バッジ,badge,JLPT_1 JLPT,yC^3FORnX|
発生,はっせい,"outbreak, spring forth, occurrence",JLPT_1 JLPT,[~75YIE]^
仕立てる,したてる,"to tailor, to make, to prepare",JLPT_1 JLPT,c;3A;W&iox
下取り,したどり,"trade in, part exchange",JLPT_1 JLPT,x00~X}Z@;z
下火,したび,"burning low, waning, declining",JLPT_1 JLPT,GXttEHji#P
実,じつ,"fruit, good result",JLPT_1 JLPT,"O,>]AbA1/T"
実家,じっか,(one's parents') home,JLPT_1 JLPT,m9e#UdET8v
失格,しっかく,"disqualification, elimination, incapacity (legal)",JLPT_1 JLPT,h!}VE0Z-kV
質疑,しつぎ,question,JLPT_1 JLPT,Mk?<?~7ejy
失脚,しっきゃく,"losing one's standing, being overthrown, falling",JLPT_1 JLPT,dyF+u*87v/
実業家,じつぎょうか,"industrialist, businessman",JLPT_1 JLPT,j8A-]Sd~|q
シック,シック,chic,JLPT_1 JLPT,b].GYST!sM
じっくり,じっくり,"deliberately, carefully",JLPT_1 JLPT,OuD=.N_4bL
躾,しつけ,"discipline, training",JLPT_1 JLPT,p&pKDPj+ET
躾ける,しつける,"to discipline, to teach manners",JLPT_1 JLPT,M=EeDC2V^e
実践,じっせん,"practice, put into practice",JLPT_1 JLPT,lCEkku)Adc
質素,しっそ,"simplicity, modesty, frugality",JLPT_1 JLPT,Lg&>>9*&@$
実態,じったい,"truth, fact",JLPT_1 JLPT,r05!(zrd*p
失調,しっちょう,"lack of harmony, imbalance",JLPT_1 JLPT,wL|Xhp<^m}
嫉妬,しっと,jealousy,JLPT_1 JLPT,"II[T1j,nrR"
実費,じっぴ,"actual expense, cost price",JLPT_1 JLPT,"Brcf8cxL,]"
指摘,してき,"pointing out, identification",JLPT_1 JLPT,0XMUSx1~^
自転,じてん,"rotation, spin",JLPT_1 JLPT,eZnBlzL^Oi
助動詞,じょどうし,auxiliary verb,JLPT_1 JLPT,MGBzC/KjZ/
淑やか,しとやか,graceful,JLPT_1 JLPT,cs-RRQGVDP
萎びる,しなびる,"to shrivel, to fade",JLPT_1 JLPT,n39PUN5yKB
シナリオ,シナリオ,scenario,JLPT_1 JLPT,mcEC.#phJ/
しなやか,しなやか,"supple, flexible, elastic",JLPT_1 JLPT,"llcgEUgd,}"
屎尿,しにょう,human waste,JLPT_1 JLPT,L{NJwSJvE1
地主,じぬし,landlord,JLPT_1 JLPT,P7lP?kfIYU
凌ぐ,しのぐ,"to outdo, to surpass; to endure",JLPT_1 JLPT,G74MSKaZvn
芝,しば,lawn,JLPT_1 JLPT,M1OofFOiDR
始発,しはつ,first train,JLPT_1 JLPT,b5g^3snh;^
耳鼻科,じびか,otolaryngology,JLPT_1 JLPT,M#I&@5u]tl
私物,しぶつ,"private property, personal effects",JLPT_1 JLPT,vg>TaiCbc?
しぶとい,しぶとい,"tenacious, stubborn",JLPT_1 JLPT,mEFQwL`E!]
司法,しほう,administration of justice,JLPT_1 JLPT,^h2%#WFiG
始末,しまつ,disposal; cleaning up afterwards,JLPT_1 JLPT,xVDH)/d;?h
染みる,しみる,to soak; pierce,JLPT_1 JLPT,uv-Quw{L2O
使命,しめい,"mission, errand, message",JLPT_1 JLPT,G+Vq)M-:^P
地元,じもと,local,JLPT_1 JLPT,v:38b>tQ|E
視野,しや,"field of vision, outlook",JLPT_1 JLPT,MXdrD7jy4!
弱,じゃく,"delicate, supple",JLPT_1 JLPT,nRYFcY_m8}
社交,しゃこう,social life,JLPT_1 JLPT,vg:~]#q8^J
ジャズ,ジャズ,jazz,JLPT_1 JLPT,A5m[%vwV8S
謝絶,しゃぜつ,refusal,JLPT_1 JLPT,MBe{>RfT0i
社宅,しゃたく,company owned house,JLPT_1 JLPT,DbP-W*D~|w
若干,じゃっかん,"some, few, number of",JLPT_1 JLPT,Q(Uny@e~8I
三味線,しゃみせん,three-stringed Japanese guitar,JLPT_1 JLPT,s_z^^gPG!F
斜面,しゃめん,"slope, slanting surface, bevel",JLPT_1 JLPT,x+=N.j3d7a
砂利,じゃり,"gravel, ballast, pebbles",JLPT_1 JLPT,ATQMr:.4bz
洒落る,しゃれる,"to joke, to play on words; stylish",JLPT_1 JLPT,H%!QFip;AM
ジャンパー,ジャンパー,"jacket, jumper",JLPT_1 JLPT,"n,_jvSzMfG"
ジャンプ,ジャンプ,jump,JLPT_1 JLPT,pw$gcH64r%
ジャンボ,ジャンボ,jumbo,JLPT_1 JLPT,uk]{9`9Xq{
ジャンル,ジャンル,genre,JLPT_1 JLPT,c5niOf<?L8
主,しゅ,"owner, master, god",JLPT_1 JLPT,tZY2oe0@.s
種,しゅ,seed; variety,JLPT_1 JLPT,rY$n|JRb)Y
私有,しゆう,private ownership,JLPT_1 JLPT,jZOSWJzMsO
～宗,～しゅう,sect,JLPT_1 JLPT,cpa^uYdTpm
収益,しゅうえき,"earnings, proceeds, returns",JLPT_1 JLPT,u?TiI-~;B#
修学,しゅうがく,learning,JLPT_1 JLPT,bPtmF5tna#
周期,しゅうき,"cycle, period",JLPT_1 JLPT,CsG?_1Ru~6
衆議院,しゅうぎいん,"Lower House, House of Representatives",JLPT_1 JLPT,tTQG>y9]$G
就業,しゅうぎょう,"employment, starting work",JLPT_1 JLPT,cF>5iCVH#I
従業員,じゅうぎょういん,"employee, worker",JLPT_1 JLPT,e0Gyloi?1+
集計,しゅうけい,"totalization, aggregate",JLPT_1 JLPT,s4<5~0hL>(
襲撃,しゅうげき,"attack, charge, raid",JLPT_1 JLPT,ogO5j2R_;R
収支,しゅうし,income and expenditure,JLPT_1 JLPT,kLuRkT404Z
終始,しゅうし,from beginning to end; consistent(ly),JLPT_1 JLPT,b9XF3_Vc&-
修士,しゅうし,Masters degree program,JLPT_1 JLPT,eySOZRKm#K
従事,じゅうじ,"engaging, pursuing, following",JLPT_1 JLPT,kZT/egI[mV
終日,しゅうじつ,all day,JLPT_1 JLPT,AR^6lmvOwg
充実,じゅうじつ,"fullness, perfection",JLPT_1 JLPT,tGa!Bufhy/
収集,しゅうしゅう,"gathering up, collection",JLPT_1 JLPT,"g+wGkM,J!."
十字路,じゅうじろ,crossroads,JLPT_1 JLPT,M-P484f.3r
執着,しゅうじゃく,"attachment, adhesion, tenacity",JLPT_1 JLPT,u`m`$IGAEz
執着,しゅうちゃく,"attachment, adhesion, tenacity",JLPT_1 JLPT,k5L#!.1c@y
柔軟,じゅうなん,flexible,JLPT_1 JLPT,o$JEWneOMf
重複,じゅうふく,"duplication, repetition, overlapping",JLPT_1 JLPT,xsR4^tk;%3
収容,しゅうよう,accommodation; seating; custody,JLPT_1 JLPT,e@q$+H3N_E
従来,じゅうらい,"up to now, so far, traditional",JLPT_1 JLPT,m&r$7kIG&x
守衛,しゅえい,"security guard, doorkeeper",JLPT_1 JLPT,e^0%h@~lt8
主演,しゅえん,"starring, playing the leading part",JLPT_1 JLPT,n]D<c|Caow
主観,しゅかん,"subjectivity, subject, ego",JLPT_1 JLPT,lW5DbL!{A5
修行,しゅぎょう,"pursuit of knowledge, training, ascetic practice",JLPT_1 JLPT,KirESaOr*_
塾,じゅく,after-school (cram) school,JLPT Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,r6*vU;-fx(
祝賀,しゅくが,"celebration, congratulations",JLPT_1 JLPT,wRzD+</l;5
宿命,しゅくめい,"fate, destiny, predestination",JLPT_1 JLPT,BFNKk^{M1j
手芸,しゅげい,handicrafts,JLPT_1 JLPT,QuReZ-t?cb
主権,しゅけん,sovereignty,JLPT_1 JLPT,bc]8:XVC+v
主催,しゅさい,"organization, sponsorship, to host",JLPT_1 JLPT,Az?/+|wSuL
取材,しゅざい,"coverage, collecting data",JLPT_1 JLPT,ALv+C0}[Uy
趣旨,しゅし,"object, meaning",JLPT_1 JLPT,r#aoMGQ7ru
種々,しゅじゅ,variety,JLPT_1 JLPT,L$zP;w1Dds
主食,しゅしょく,staple food,JLPT_1 JLPT,Ff{n(i0=[l
主人公,しゅじんこう,protagonist,JLPT_1 JLPT,Ci-hQYEll
主体,しゅたい,"subject, main constituent",JLPT_1 JLPT,"wk,7:5Ulq:"
主題,しゅだい,"subject, theme, motif",JLPT_1 JLPT,t4<KTH8w{.
出演,しゅつえん,"leading performer, stage appearance",JLPT_1 JLPT,B>+JLE{F%w
出血,しゅっけつ,bleeding,JLPT_1 JLPT,jt7Tvjw[T<
出現,しゅつげん,"appearance, arrival",JLPT_1 JLPT,et$R3oC-m[
出産,しゅっさん,childbirth,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,CT4;+h>Ai7
出社,しゅっしゃ,come to work,JLPT_1 JLPT,Gd$MA{t_:M
出生,しゅっしょう,birth,JLPT_1 JLPT,CwJVE%al3B
出生,しゅっせい,birth,JLPT_1 JLPT,cV$*)i2b6%
微量,びりょう,"minuscule amount, extremely small quantity",JLPT_1 JLPT,Ix21c!hl+{
昼飯,ひるめし,lunch (mid-day meal),JLPT_1 JLPT,B4a{kV3{l&
比例,ひれい,proportion,JLPT_1 JLPT,u^9gz.!&Uk
疲労,ひろう,"fatigue, weariness",JLPT_1 JLPT,m.KXL51O8=
敏感,びんかん,"sensibility, susceptibility, sensitive (to)",JLPT_1 JLPT,i]}jt3Q.(f
貧困,ひんこん,"poverty, lack",JLPT_1 JLPT,xy9G9E{K5M
品質,ひんしつ,quality,JLPT_1 JLPT,v)0nMB=(Mu
貧弱,ひんじゃく,"poor, meager, insubstantial",JLPT_1 JLPT,"AT#enW$Yd,"
品種,ひんしゅ,"breed, type, variety",JLPT_1 JLPT,K%9{]!|f1(
ヒント,ヒント,hint,JLPT_1 JLPT,l]_+v%b&%R
頻繁,ひんぱん,frequency,JLPT_1 JLPT,D{nW!<u7<*
貧乏,びんぼう,"poverty, destitute, poor",JLPT_1 JLPT,KjBzaYHZW.
ファイト,ファイト,fight,JLPT_1 JLPT,"C?{V+<,&x0"
ファイル,ファイル,file; portfolio,JLPT_1 Genki_Ln.16 JLPT Genki,srC<dgokBJ
ファン,ファン,fan,JLPT_1 JLPT,hsy0ORScG&
不意,ふい,"sudden, abrupt, unexpected",JLPT_1 JLPT,xgYlO*O}d~
フィルタ,フィルタ,filter,JLPT_1 JLPT,jmKbIb6QcW
封,ふう,seal,JLPT_1 JLPT,iHGcq7T#S>
封鎖,ふうさ,"blockade, freezing (funds)",JLPT_1 JLPT,Ae_x+Wt0^{
風車,ふうしゃ,windmill,JLPT_1 JLPT,m${YvIujFj
風習,ふうしゅう,custom,JLPT_1 JLPT,IfkXX^HH}1
風俗,ふうぞく,"manners, customs; sex industry",JLPT_1 JLPT,e3n120S&QB
ブーツ,ブーツ,boots,JLPT_1 JLPT,Nihzy$?;~s
風土,ふうど,"natural features, climate",JLPT_1 JLPT,B(IXgyGNd~
ブーム,ブーム,boom,JLPT_1 JLPT,FMQ@X9![T+
フォーム,フォーム,foam; form,JLPT_1 JLPT,N.>_aoM)4S
部下,ぶか,one's subordinate,JLPT Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.9 Genki_Ln.22 Genki,At:l-rSeL9
不可欠,ふかけつ,"indispensable, essential",JLPT_1 JLPT,$D>BzY&Eq
ぶかぶか,ぶかぶか,"too big, baggy",JLPT_1 JLPT,M4TQ1zs9*D
不吉,ふきつ,"ominous, sinister, bad luck, ill omen",JLPT_1 JLPT,GG4guCQ>St
不況,ふきょう,"recession, depression, slump",JLPT_1 JLPT,NAxBuR@3>.
布巾,ふきん,dish cloth,JLPT_1 JLPT,P<Zf%&wJ!m
複合,ふくごう,"composite, complex",JLPT_1 JLPT,p=QT;iGf;n
福祉,ふくし,"welfare, well-being",JLPT_1 JLPT,b03!@u1#5V
覆面,ふくめん,"mask, veil, disguise",JLPT_1 JLPT,QXg#lB9xS_
膨れる,ふくれる,"to swell (out), to be inflated, to bulge",JLPT_1 JLPT,"Ie:O+1U,1j"
不景気,ふけいき,"business recession, hard times, depression",JLPT_1 JLPT,"iNdMUnu]F,"
耽る,ふける,"to indulge in, to give oneself up to, to be absorbed in",JLPT_1 JLPT,v[B)O.T7PD
老ける,ふける,to age,JLPT_1 JLPT,QZ$)s`u+7V
富豪,ふごう,"wealthy person, millionaire",JLPT_1 JLPT,de)G:rS8ob
布告,ふこく,"edict, ordinance, proclamation",JLPT_1 JLPT,m`EP77(8*G
ブザー,ブザー,buzzer,JLPT_1 JLPT,C0kjm{<IuS
負債,ふさい,"debt, liabilities",JLPT_1 JLPT,qG<ySRudYV
不在,ふざい,absence,JLPT_1 JLPT,rCM+ktTr!?
ふさわしい,ふさわしい,appropriate,JLPT_1 JLPT,j1c*Q9d`L}
不順,ふじゅん,"irregularity, unseasonableness",JLPT_1 JLPT,kwTZda>KFz
負傷,ふしょう,"injury, wound",JLPT_1 JLPT,o+oZbWGZ`o
侮辱,ぶじょく,"insult, contempt, slight",JLPT_1 JLPT,g>J&PTIuaT
不審,ふしん,"suspicious, doubt, infidelity",JLPT_1 JLPT,jmIlRt&BUg
不振,ふしん,"dullness, slump, stagnation",JLPT_1 JLPT,G]_~>elSdu
武装,ぶそう,"arms, armament, armed",JLPT_1 JLPT,JTlLA8kPQ$
札,ふだ,"token, label; ticket, card; charm, talisman",JLPT_1 JLPT,P_/*Zy2*:b
負担,ふたん,burden; load,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,Gta/;X`Z+t
不調,ふちょう,"bad condition, disorder, slump",JLPT_1 JLPT,j!ymTpYo|(
復活,ふっかつ,"revival (e.g., musical), restoration",JLPT_1 JLPT,Hga}Pqjl1G
物議,ぶつぎ,public discussion (criticism),JLPT_1 JLPT,E>jQlZ<@Gi
復旧,ふっきゅう,"restoration, restitution, rehabilitation",JLPT_1 JLPT,v+skQS.kck
復興,ふっこう,"revival, renaissance, reconstruction",JLPT_1 JLPT,DSf6z@!#o3
物資,ぶっし,"goods, materials",JLPT_1 JLPT,wx*<XPsco8
仏像,ぶつぞう,Buddhist image (statue),JLPT_1 JLPT,oCnal+d5Dm
物体,ぶったい,object,JLPT_1 JLPT,vQK(_s<&_e
沸騰,ふっとう,"boiling, seething",JLPT_1 JLPT,K!6nK8uJ5*
不当,ふとう,"injustice, impropriety, unfair",JLPT_1 JLPT,"AB;-J~^I,j"
不動産,ふどうさん,real estate,JLPT_1 JLPT,Mv%siEq0S4
無難,ぶなん,"safety, security",JLPT_1 JLPT,L:*{h+[3Gh
赴任,ふにん,(proceeding to) new appointment,JLPT_1 JLPT,oAb.`u!o*I
腐敗,ふはい,"decay, depravity",JLPT_1 JLPT,M`8*mP*qtg
不評,ふひょう,"bad reputation, disgrace, unpopularity",JLPT_1 JLPT,uWKg6kq8N?
不服,ふふく,"dissatisfaction, discontent, disapproval",JLPT_1 JLPT,efQHJ:1O+%
普遍,ふへん,"universality, ubiquity, omnipresence",JLPT_1 JLPT,DU4nCA/=D7
踏まえる,ふまえる,"to be based on, to have origin in",JLPT_1 JLPT,FbvWJQ2aYz
踏み込む,ふみこむ,"to step into (someone else's territory, to break into, to raid",JLPT_1 JLPT,KsQ]!/u$%%
不明,ふめい,"unknown, ambiguous",JLPT_1 JLPT,c[|*N}]Ng.
部門,ぶもん,"class, group, category, department, field, branch",JLPT_1 JLPT,fW<r$/Xexi
扶養,ふよう,"support, maintenance",JLPT_1 JLPT,c&|r4tzL6g
ふらふら,ふらふら,"unsteady on one's feet, totter, dizzy",JLPT_1 JLPT,cGi)S~zu?F
ぶらぶら,ぶらぶら,"dangle heavily, sway to and fro, stroll idly",JLPT_1 JLPT,"cSlQ|q,LD<"
振り返る,ふりかえる,"to turn head, to turn around, to look back",JLPT_1 JLPT,i6Y*X-6gv)
振り出し,ふりだし,"outset, starting point, drawing or issuing (draft)",JLPT_1 JLPT,"A2?E7UEb&,"
不良,ふりょう,"badness, delinquent, failure",JLPT_1 JLPT,APww5XImb>
浮力,ふりょく,buoyancy,JLPT_1 JLPT,DkFrZlvY6D
武力,ぶりょく,"armed might, military power, the sword, force",JLPT_1 JLPT,l$;!dayR0#
ブル,ブル,bull,JLPT_1 JLPT,vCf7eeE})t
震わせる,ふるわせる,"to be shaking, to be trembling",JLPT_1 JLPT,j:m!@?JEXR
無礼,ぶれい,"impolite, rude",JLPT_1 JLPT,hx5Ck[5*mQ
付録,ふろく,"appendix, supplement",JLPT_1 JLPT,z3>_<:;2Kw
フロント,フロント,front,JLPT_1 JLPT,QB*(L<))Uf
憤慨,ふんがい,"indignation, resentment",JLPT_1 JLPT,M|ckH|tS}_
文化財,ぶんかざい,"cultural assets, cultural property",JLPT_1 JLPT,GKrt{zi]?g
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",JLPT_1 JLPT,BTtV3{+^[7
文語,ぶんご,"written language, literary language",JLPT_1 JLPT,O2yEclYZ/f
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",JLPT_1 JLPT,w2^IG)[nB&
分子,ぶんし,"numerator, molecule",JLPT_1 JLPT,rK-5&@bZ0^
紛失,ふんしつ,losing something,JLPT_1 JLPT,j5|sBvq.}8
噴出,ふんしゅつ,"spewing, gushing, spouting",JLPT_1 JLPT,D3z2#~XD*U
文書,ぶんしょ,"document, writing",JLPT_1 JLPT,bo]+8nZw?m
紛争,ふんそう,"dispute, trouble, strife",JLPT_1 JLPT,OV3#PrQH78
ふんだん,ふんだん,"plentiful, abundant, lavish",JLPT_1 JLPT,MwIZm`m=c%
分担,ぶんたん,"apportionment, sharing",JLPT_1 JLPT,gy+k.s^o1O
奮闘,ふんとう,"hard struggle, strenuous effort",JLPT_1 JLPT,L`X>(7GS~^
分配,ぶんぱい,"division, sharing",JLPT_1 JLPT,r[[VI2iWnz
分母,ぶんぼ,denominator,JLPT_1 JLPT,BM+H~/z91A
粉末,ふんまつ,fine powder,JLPT_1 JLPT,O?vF%vQ*a#
分離,ぶんり,"separation, detachment, segregation",JLPT_1 JLPT,u?^XP3ZSZ)
分裂,ぶんれつ,"split, division, break up",JLPT_1 JLPT,FG95S7^tJT
ペア,ペア,"pair, pear",JLPT_1 JLPT,k=Nb=9qw5N
兵器,へいき,"arms, weapons, ordinance",JLPT_1 JLPT,wAUL<0|lY_
閉口,へいこう,shut mouth,JLPT_1 JLPT,g74gm$0hDG
閉鎖,へいさ,"closing, closure, shutdown",JLPT_1 JLPT,m*Y:Rj#(nz
兵士,へいし,soldier,JLPT_1 JLPT,B3%=Tm.br`
平常,へいじょう,"normal, usual",JLPT_1 JLPT,i$h--6kH#|
平方,へいほう,"square (e.g., meter, square)",JLPT_1 JLPT,pZOmk8w#A@
並列,へいれつ,"arrangement, parallel, abreast",JLPT_1 JLPT,QDMVtj-X)]
ベース,ベース,"base, bass",JLPT_1 JLPT,m~Et>&CToA
辟易,へきえき,"wince, shrink back, succumbing to, being frightened",JLPT_1 JLPT,wo~f0ok]vp
ぺこぺこ,ぺこぺこ,"fawn, be very hungry",JLPT_1 JLPT,F.Cz<ZL1y8
ベスト,ベスト,best; vest,JLPT_1 JLPT,kVQ_O=hpyu
ベストセラー,ベストセラー,best-seller,JLPT_1 JLPT,"k[DIJ,exg`"
隔たる,へだたる,to be distant,JLPT_1 JLPT,b4BPS$[Q>/
縁,へり,edge,JLPT_1 JLPT,g}BbfTHa#|
へりくだる,へりくだる,to deprecate oneself and praise the listener,JLPT_1 JLPT,fb3Sk}Zmt.
弁解,べんかい,"explanation, justification, excuse",JLPT_1 JLPT,Eu*5BbIK^d
変革,へんかく,"change, reform(the) Reformation",JLPT_1 JLPT,JH(PT>%qS{
返還,へんかん,"return, restoration",JLPT_1 JLPT,F`|5A?wBp8
便宜,べんぎ,"convenience, accommodation",JLPT_1 JLPT,uw9O+5v>m#
偏見,へんけん,"prejudice, narrow view",JLPT_1 JLPT,H5~Io~/)~0
弁護,べんご,"defense, pleading, advocacy",JLPT_1 JLPT,rHoP07l#m/
返済,へんさい,repayment,JLPT_1 JLPT,G.5i-maV%u
弁償,べんしょう,"compensation, reparation, reimbursement",JLPT_1 JLPT,H^-g_F:FjG
変遷,へんせん,"change, transition, vicissitudes",JLPT_1 JLPT,qt*X5m;y07
返答,へんとう,reply,JLPT_1 JLPT,A+kZ]*6U1q
変動,へんどう,"change, fluctuation",JLPT_1 JLPT,"giBey3?e,4"
弁論,べんろん,"discussion, debate, argument",JLPT_1 JLPT,A=n2+Ps#LJ
穂,ほ,"ear (of plant), head (of plant)",JLPT_1 JLPT,c0##(*ojkQ
保育,ほいく,"nursing, nurturing, rearing",JLPT_1 JLPT,i3iCkIhG8y
ボイコット,ボイコット,boycott,JLPT_1 JLPT,mR[e%~Ga7o
ポイント,ポイント,point,JLPT_1 JLPT,J#f7z)[.2}
法案,ほうあん,bill (law),JLPT_1 JLPT,G67]H`pE*(
防衛,ぼうえい,"defense, protection, self-defense",JLPT_1 JLPT,D~[_4zhU{o
防火,ぼうか,"fire prevention, fire fighting, fire proof",JLPT_1 JLPT,nk53s<H-ud
崩壊,ほうかい,"collapse, decay (physics), crumbling",JLPT_1 JLPT,"jGI8,H>%=u"
妨害,ぼうがい,"disturbance, obstruction, interference",JLPT_1 JLPT,k0?pSKRG!b
法学,ほうがく,"law, jurisprudence",JLPT_1 JLPT,Mp|Wasr2Aa
封建,ほうけん,feudalistic,JLPT_1 JLPT,I3}@<tlawU
豊作,ほうさく,"abundant harvest, bumper crop",JLPT_1 JLPT,DcQa/!NBRf
方策,ほうさく,"plan, policy",JLPT_1 JLPT,jAYb5%jhb
奉仕,ほうし,"attendance, service",JLPT_1 JLPT,jl!5Ew9{A&
方式,ほうしき,"form, method, system",JLPT_1 JLPT,JK5hiz`$ai
放射,ほうしゃ,"radiation, emission",JLPT_1 JLPT,s&NZ<R!wMX
放射能,ほうしゃのう,radioactivity,JLPT_1 JLPT,gGVwqx%~R]
報酬,ほうしゅう,"remuneration, recompense, reward",JLPT_1 JLPT,f3~#Hf{b;R
放出,ほうしゅつ,"release, emit",JLPT_1 JLPT,sh*BL^`)[I
報じる,ほうじる,"to inform, to report",JLPT_1 JLPT,JFEJ]`)bZ8
報ずる,ほうずる,"to inform, to report",JLPT_1 JLPT,"KRvk3^-|,F"
紡績,ぼうせき,spinning,JLPT_1 JLPT,c(WbBZ;AX4
呆然,ぼうぜん,"dumbfounded, overcome with surprise",JLPT_1 JLPT,"D,29%Cq6kO"
放置,ほうち,"leave as is, leave alone, neglect",JLPT_1 JLPT,v(CYy#&;?A
膨張,ぼうちょう,"expansion, swelling, increase",JLPT_1 JLPT,yrEhMT2lD[
法廷,ほうてい,courtroom,JLPT_1 JLPT,DT=sfW*:r&
報道,ほうどう,"coverage, report",JLPT_1 JLPT,c6C5#ID_tl
冒頭,ぼうとう,"beginning, start, outset",JLPT_1 JLPT,j#7sz+T+0t
暴動,ぼうどう,"insurrection, riot, uprising",JLPT_1 JLPT,z>Vj=5Gt8G
褒美,ほうび,"reward, prize",JLPT_1 JLPT,p$ZOw#.2V@
暴風,ぼうふう,"storm, windstorm, gale",JLPT_1 JLPT,G7m5?HCHEG
葬る,ほうむる,"to bury, to entomb",JLPT_1 JLPT,o:m}t1oj2f
放り込む,ほうりこむ,to throw into,JLPT_1 JLPT,eWW}rHT.ef
放り出す,ほうりだす,"to throw out, to give up, to abandon",JLPT_1 JLPT,x@6@j{vH4g
暴力,ぼうりょく,violence,JLPT_1 JLPT,"bBwqHP,dIr"
飽和,ほうわ,saturation,JLPT_1 JLPT,e-F){8|6>q
ホース,ホース,hose,JLPT_1 JLPT,mR5}X@MWM{
ポーズ,ポーズ,pause,JLPT_1 JLPT,o2eqJ-PY$U
ホール,ホール,hall; hole,JLPT_1 JLPT,g=V#H+1mJd
保温,ほおん,"retaining warmth, keeping heat in, heat insulation",JLPT_1 JLPT,caxU`1c?H}
捕獲,ほかく,"capture, seizure",JLPT_1 JLPT,b>64#LmJ&_
保管,ほかん,"custody, safekeeping, storage",JLPT_1 JLPT,dQ*M>yKiW}
補給,ほきゅう,"supply, supplying, replenishment",JLPT_1 JLPT,Dc(.H5{&b@
補強,ほきょう,reinforcement,JLPT_1 JLPT,J3$|<dn.re
募金,ぼきん,"fund-raising, collection of funds",JLPT_1 JLPT,h)Vl=R>l^q
牧師,ぼくし,"pastor, minister, clergyman",JLPT_1 JLPT,pz`YHSooKr
捕鯨,ほげい,whaling,JLPT_1 JLPT,x$O*osSX;x
惚ける,ぼける,"to grow senile, to fade",JLPT_1 JLPT,q*FJd;okG=
保険,ほけん,"insurance, guarantee",JLPT_1 JLPT,Bet5?24idk
母校,ぼこう,alma mater,JLPT_1 JLPT,qX^1y@?`G[
母国,ぼこく,one's home country (same as 自分の国 (じぶんのくに)),JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,bSW6]:G@H?
誇る,ほこる,"to boast of, to be proud of",JLPT_1 JLPT,M-#?~#CKEe
綻びる,ほころびる,"to come apart at the seams, to smile broadly",JLPT_1 JLPT,IzpFoG;o+q
干し～,ほし～,dried ~,JLPT_1 JLPT,is?TC|:$uN
ポジション,ポジション,position,JLPT_1 JLPT,PnsJ9Y`/xy
干し物,ほしもの,dried washing (clothes,JLPT_1 JLPT,fiEpVY&=zT
保守,ほしゅ,"conservative, maintaining",JLPT_1 JLPT,HeA:gQu%kE
補充,ほじゅう,"supplementation, replenishment, replenishing",JLPT_1 JLPT,ovQ+M7ILU)
補助,ほじょ,"assistance, support, auxiliary",JLPT_1 JLPT,m?5D3_JP+}
舗装,ほそう,"pavement, road surface",JLPT_1 JLPT,glr.;x9$x0
補足,ほそく,"supplement, complement",JLPT_1 JLPT,inE4~;vRlL
墓地,ぼち,"cemetery, graveyard",JLPT_1 JLPT,nNMpx>zT&}
発作,ほっさ,"fit, attack",JLPT_1 JLPT,J-l0g]=x_p
